pincode,place_name,state_name,latitude,longitude
141001,Ludhiana,Punjab,30.8676,75.8444
141002,Colony Ropar,Punjab,30.9,75.85
141003,Ludhiana,Punjab,30.9,75.85
141004,P A P Lines,Punjab,30.9,75.85
141005,Ludhiana,Punjab,30.9,75.85
141007,Ludhiana,Punjab,30.9,75.85
141008,Kidwai Nagar,Punjab,30.9,75.85
141102,Dakha,Punjab,30.6833,75.625
141104,K C G S Sudhar,Punjab,30.6833,75.625
141105,Saraba,Punjab,30.6833,75.625
141106,Haliwara A D,Punjab,30.6833,75.625
141107,Halwara,Punjab,30.7167,75.65
141108,Pakhowal,Punjab,30.6833,75.625
141109,Raikot,Punjab,30.65,75.6
141111,Jamalpur Awana,Punjab,30.7949,76.1071
141113,Katni Kalan,Punjab,30.7949,76.1071
141114,Samrala,Punjab,30.8367,76.1897
